Topology,n_models_ensemble,n_epoch,ratio_mse
512_256_64,3,100,3.14
512_256_64,3,110,2.64
512_256_64,3,120,2.16
512_256_64,3,130,1.65
512_256_64,3,140,1.49
512_256_64,3,150,1.4
512_256_64,3,160,1.4
512_256_64,3,180,1.32
512_256_64,3,200,1.28
512_256_64,3,220,1.25
512_256_64,3,240,1.11
512_256_64,3,260,0.96
512_256_64,3,300,0.73
512_256_64,3,320,0.69
512_256_64,3,340,0.63
512_256_64,3,360,0.63
512_256_64,3,380,0.64
512_256_64,3,400,0.58
512_256_64,3,400,0.56
